structure,layout,block_cap,n,q,dist,hit_pct,seed,rep,build_ms,prep_ms,search_ns,insert_ns,hits,expected_hits,mem_bytes,bytes_per_key
array,sorted,0,256,500000,uniform,50,42,0,0.000,0.000,49.28,0.00,250205,250205,2048,8.00
array-bl,sorted,0,256,500000,uniform,50,42,0,0.000,0.000,7.18,0.00,250205,250205,2048,8.00
array-eyt,eyt,0,256,500000,uniform,50,42,0,0.000,0.000,8.12,0.00,250205,250205,2048,8.00
skiplist,nodes,0,256,500000,uniform,50,42,0,0.053,0.000,47.48,0.00,250205,250205,4660,18.20
csl,sorted,4,256,500000,uniform,50,42,0,0.030,0.008,51.13,0.00,250205,250205,4628,18.08
csl-eyt,eyt,4,256,500000,uniform,50,42,0,0.072,0.027,70.80,0.00,250205,250205,4628,18.08
csl,sorted,8,256,500000,uniform,50,42,0,0.030,0.008,69.75,0.00,250205,250205,3408,13.31
csl-eyt,eyt,8,256,500000,uniform,50,42,0,0.018,0.007,63.28,0.00,250205,250205,3408,13.31
csl,sorted,16,256,500000,uniform,50,42,0,0.018,0.005,54.64,0.00,250205,250205,2800,10.94
csl-eyt,eyt,16,256,500000,uniform,50,42,0,0.042,0.006,44.22,0.00,250205,250205,2800,10.94
csl,sorted,32,256,500000,uniform,50,42,0,0.014,0.006,50.89,0.00,250205,250205,2500,9.77
csl-eyt,eyt,32,256,500000,uniform,50,42,0,0.009,0.006,37.86,0.00,250205,250205,2500,9.77
csl,sorted,64,256,500000,uniform,50,42,0,0.008,0.002,36.42,0.00,250205,250205,2352,9.19
csl-eyt,eyt,64,256,500000,uniform,50,42,0,0.008,0.005,33.50,0.00,250205,250205,2352,9.19
array,sorted,0,256,500000,uniform,50,42,1,0.000,0.000,52.50,0.00,250205,250205,2048,8.00
array-bl,sorted,0,256,500000,uniform,50,42,1,0.000,0.000,7.00,0.00,250205,250205,2048,8.00
array-eyt,eyt,0,256,500000,uniform,50,42,1,0.000,0.000,8.18,0.00,250205,250205,2048,8.00
skiplist,nodes,0,256,500000,uniform,50,42,1,0.044,0.000,57.98,0.00,250205,250205,4660,18.20
csl,sorted,4,256,500000,uniform,50,42,1,0.024,0.007,62.76,0.00,250205,250205,4628,18.08
csl-eyt,eyt,4,256,500000,uniform,50,42,1,0.035,0.017,81.72,0.00,250205,250205,4628,18.08
csl,sorted,8,256,500000,uniform,50,42,1,0.020,0.006,61.60,0.00,250205,250205,3408,13.31
csl-eyt,eyt,8,256,500000,uniform,50,42,1,0.013,0.007,62.01,0.00,250205,250205,3408,13.31
csl,sorted,16,256,500000,uniform,50,42,1,0.013,0.003,44.97,0.00,250205,250205,2800,10.94
csl-eyt,eyt,16,256,500000,uniform,50,42,1,0.012,0.006,48.37,0.00,250205,250205,2800,10.94
csl,sorted,32,256,500000,uniform,50,42,1,0.013,0.004,40.88,0.00,250205,250205,2500,9.77
csl-eyt,eyt,32,256,500000,uniform,50,42,1,0.008,0.006,38.68,0.00,250205,250205,2500,9.77
csl,sorted,64,256,500000,uniform,50,42,1,0.009,0.003,32.61,0.00,250205,250205,2352,9.19
csl-eyt,eyt,64,256,500000,uniform,50,42,1,0.008,0.005,33.66,0.00,250205,250205,2352,9.19
array,sorted,0,256,500000,uniform,50,42,2,0.000,0.000,42.12,0.00,250205,250205,2048,8.00
array-bl,sorted,0,256,500000,uniform,50,42,2,0.000,0.000,6.90,0.00,250205,250205,2048,8.00
array-eyt,eyt,0,256,500000,uniform,50,42,2,0.000,0.000,7.93,0.00,250205,250205,2048,8.00
skiplist,nodes,0,256,500000,uniform,50,42,2,0.040,0.000,47.52,0.00,250205,250205,4660,18.20
csl,sorted,4,256,500000,uniform,50,42,2,0.021,0.006,52.18,0.00,250205,250205,4628,18.08
csl-eyt,eyt,4,256,500000,uniform,50,42,2,0.020,0.010,55.30,0.00,250205,250205,4628,18.08
csl,sorted,8,256,500000,uniform,50,42,2,0.013,0.003,46.57,0.00,250205,250205,3408,13.31
csl-eyt,eyt,8,256,500000,uniform,50,42,2,0.012,0.007,54.41,0.00,250205,250205,3408,13.31
csl,sorted,16,256,500000,uniform,50,42,2,0.012,0.003,58.11,0.00,250205,250205,2800,10.94
csl-eyt,eyt,16,256,500000,uniform,50,42,2,0.009,0.005,43.17,0.00,250205,250205,2800,10.94
csl,sorted,32,256,500000,uniform,50,42,2,0.013,0.004,39.85,0.00,250205,250205,2500,9.77
csl-eyt,eyt,32,256,500000,uniform,50,42,2,0.007,0.005,38.46,0.00,250205,250205,2500,9.77
csl,sorted,64,256,500000,uniform,50,42,2,0.006,0.001,43.82,0.00,250205,250205,2352,9.19
csl-eyt,eyt,64,256,500000,uniform,50,42,2,0.007,0.004,35.16,0.00,250205,250205,2352,9.19
