structure,layout,block_cap,n,q,dist,hit_pct,seed,rep,build_ms,prep_ms,search_ns,insert_ns,hits,expected_hits,mem_bytes,bytes_per_key
array,sorted,0,8,500000,uniform,50,42,0,0.000,0.000,13.45,0.00,250196,250196,64,8.00
array-bl,sorted,0,8,500000,uniform,50,42,0,0.000,0.000,3.02,0.00,250196,250196,64,8.00
array-eyt,eyt,0,8,500000,uniform,50,42,0,0.000,0.000,6.25,0.00,250196,250196,64,8.00
skiplist,nodes,0,8,500000,uniform,50,42,0,0.012,0.000,17.84,0.00,250196,250196,292,36.50
csl,sorted,4,8,500000,uniform,50,42,0,0.010,0.001,16.99,0.00,250196,250196,296,37.00
csl-eyt,eyt,4,8,500000,uniform,50,42,0,0.004,0.001,22.63,0.00,250196,250196,296,37.00
csl,sorted,8,8,500000,uniform,50,42,0,0.001,0.000,17.30,0.00,250196,250196,256,32.00
csl-eyt,eyt,8,8,500000,uniform,50,42,0,0.003,0.001,17.44,0.00,250196,250196,256,32.00
csl,sorted,16,8,500000,uniform,50,42,0,0.004,0.001,17.14,0.00,250196,250196,320,40.00
csl-eyt,eyt,16,8,500000,uniform,50,42,0,0.003,0.001,17.64,0.00,250196,250196,320,40.00
csl,sorted,32,8,500000,uniform,50,42,0,0.002,0.000,18.13,0.00,250196,250196,448,56.00
csl-eyt,eyt,32,8,500000,uniform,50,42,0,0.003,0.001,18.45,0.00,250196,250196,448,56.00
csl,sorted,64,8,500000,uniform,50,42,0,0.009,0.001,15.84,0.00,250196,250196,704,88.00
csl-eyt,eyt,64,8,500000,uniform,50,42,0,0.004,0.001,18.57,0.00,250196,250196,704,88.00
array,sorted,0,8,500000,uniform,50,42,1,0.000,0.000,15.12,0.00,250196,250196,64,8.00
array-bl,sorted,0,8,500000,uniform,50,42,1,0.000,0.000,3.05,0.00,250196,250196,64,8.00
array-eyt,eyt,0,8,500000,uniform,50,42,1,0.000,0.000,6.22,0.00,250196,250196,64,8.00
skiplist,nodes,0,8,500000,uniform,50,42,1,0.009,0.000,18.46,0.00,250196,250196,292,36.50
csl,sorted,4,8,500000,uniform,50,42,1,0.005,0.001,17.21,0.00,250196,250196,296,37.00
csl-eyt,eyt,4,8,500000,uniform,50,42,1,0.001,0.001,25.41,0.00,250196,250196,296,37.00
csl,sorted,8,8,500000,uniform,50,42,1,0.003,0.000,17.51,0.00,250196,250196,256,32.00
csl-eyt,eyt,8,8,500000,uniform,50,42,1,0.003,0.001,17.53,0.00,250196,250196,256,32.00
csl,sorted,16,8,500000,uniform,50,42,1,0.006,0.001,16.90,0.00,250196,250196,320,40.00
csl-eyt,eyt,16,8,500000,uniform,50,42,1,0.007,0.002,17.63,0.00,250196,250196,320,40.00
csl,sorted,32,8,500000,uniform,50,42,1,0.004,0.001,18.68,0.00,250196,250196,448,56.00
csl-eyt,eyt,32,8,500000,uniform,50,42,1,0.026,0.001,17.51,0.00,250196,250196,448,56.00
csl,sorted,64,8,500000,uniform,50,42,1,0.002,0.000,30.60,0.00,250196,250196,704,88.00
csl-eyt,eyt,64,8,500000,uniform,50,42,1,0.007,0.002,21.05,0.00,250196,250196,704,88.00
array,sorted,0,8,500000,uniform,50,42,2,0.000,0.000,14.85,0.00,250196,250196,64,8.00
array-bl,sorted,0,8,500000,uniform,50,42,2,0.000,0.000,8.25,0.00,250196,250196,64,8.00
array-eyt,eyt,0,8,500000,uniform,50,42,2,0.000,0.000,13.89,0.00,250196,250196,64,8.00
skiplist,nodes,0,8,500000,uniform,50,42,2,0.010,0.000,53.16,0.00,250196,250196,292,36.50
csl,sorted,4,8,500000,uniform,50,42,2,0.008,0.001,39.43,0.00,250196,250196,296,37.00
csl-eyt,eyt,4,8,500000,uniform,50,42,2,0.010,0.003,43.46,0.00,250196,250196,296,37.00
csl,sorted,8,8,500000,uniform,50,42,2,0.006,0.001,23.70,0.00,250196,250196,256,32.00
csl-eyt,eyt,8,8,500000,uniform,50,42,2,0.005,0.002,25.56,0.00,250196,250196,256,32.00
csl,sorted,16,8,500000,uniform,50,42,2,0.009,0.001,22.45,0.00,250196,250196,320,40.00
csl-eyt,eyt,16,8,500000,uniform,50,42,2,0.006,0.003,24.50,0.00,250196,250196,320,40.00
csl,sorted,32,8,500000,uniform,50,42,2,0.004,0.001,16.08,0.00,250196,250196,448,56.00
csl-eyt,eyt,32,8,500000,uniform,50,42,2,0.008,0.001,17.55,0.00,250196,250196,448,56.00
csl,sorted,64,8,500000,uniform,50,42,2,0.004,0.001,17.34,0.00,250196,250196,704,88.00
csl-eyt,eyt,64,8,500000,uniform,50,42,2,0.008,0.003,29.54,0.00,250196,250196,704,88.00
