structure,layout,block_cap,n,q,dist,hit_pct,seed,rep,build_ms,prep_ms,search_ns,insert_ns,hits,expected_hits,mem_bytes,bytes_per_key
csl-eyt,eyt,128,4000000,500000,uniform,50,42,1,37.530,20.931,405.08,0.00,250362,250362,33209488,8.30
csl,sorted,256,4000000,500000,uniform,50,42,1,35.868,1.889,417.50,0.00,250362,250362,32604776,8.15
csl-eyt,eyt,256,4000000,500000,uniform,50,42,1,51.212,18.320,444.53,0.00,250362,250362,32604776,8.15
csl,sorted,512,4000000,500000,uniform,50,42,1,41.511,0.749,403.14,0.00,250362,250362,32304584,8.08
csl-eyt,eyt,512,4000000,500000,uniform,50,42,1,36.853,15.074,326.13,0.00,250362,250362,32304584,8.08
csl,sorted,1024,4000000,500000,uniform,50,42,1,34.033,0.259,389.14,0.00,250362,250362,32157416,8.04
csl-eyt,eyt,1024,4000000,500000,uniform,50,42,1,47.571,16.825,338.36,0.00,250362,250362,32157416,8.04
csl,sorted,2048,4000000,500000,uniform,50,42,1,41.912,0.187,331.15,0.00,250362,250362,32090112,8.02
csl-eyt,eyt,2048,4000000,500000,uniform,50,42,1,29.237,16.809,277.69,0.00,250362,250362,32090112,8.02
csl,sorted,4096,4000000,500000,uniform,50,42,1,38.594,0.082,375.30,0.00,250362,250362,32052252,8.01
csl-eyt,eyt,4096,4000000,500000,uniform,50,42,1,37.926,12.133,217.43,0.00,250362,250362,32052252,8.01
array,sorted,0,4000000,500000,uniform,50,42,2,0.000,0.000,279.48,0.00,250362,250362,32000000,8.00
array-bl,sorted,0,4000000,500000,uniform,50,42,2,0.000,0.000,166.13,0.00,250362,250362,32000000,8.00
array-eyt,eyt,0,4000000,500000,uniform,50,42,2,0.000,0.000,132.92,0.00,250362,250362,32000000,8.00
skiplist,nodes,0,4000000,500000,uniform,50,42,2,703.623,0.000,1385.89,0.00,250362,250362,69339080,17.33
csl,sorted,8,4000000,500000,uniform,50,42,2,168.477,45.578,763.75,0.00,250362,250362,51334752,12.83
csl-eyt,eyt,8,4000000,500000,uniform,50,42,2,241.345,127.157,886.89,0.00,250362,250362,51334752,12.83
csl,sorted,16,4000000,500000,uniform,50,42,2,98.391,18.831,467.81,0.00,250362,250362,41667668,10.42
csl-eyt,eyt,16,4000000,500000,uniform,50,42,2,102.371,50.260,442.74,0.00,250362,250362,41667668,10.42
csl,sorted,32,4000000,500000,uniform,50,42,2,67.141,8.579,419.83,0.00,250362,250362,36834260,9.21
csl-eyt,eyt,32,4000000,500000,uniform,50,42,2,70.268,32.082,402.96,0.00,250362,250362,36834260,9.21
csl,sorted,64,4000000,500000,uniform,50,42,2,39.752,4.258,325.52,0.00,250362,250362,34417072,8.60
csl-eyt,eyt,64,4000000,500000,uniform,50,42,2,45.896,20.823,325.90,0.00,250362,250362,34417072,8.60
csl,sorted,128,4000000,500000,uniform,50,42,2,28.182,1.958,343.79,0.00,250362,250362,33209488,8.30
csl-eyt,eyt,128,4000000,500000,uniform,50,42,2,33.620,20.176,300.36,0.00,250362,250362,33209488,8.30
csl,sorted,256,4000000,500000,uniform,50,42,2,34.111,1.054,321.11,0.00,250362,250362,32604776,8.15
csl-eyt,eyt,256,4000000,500000,uniform,50,42,2,34.169,13.334,312.84,0.00,250362,250362,32604776,8.15
csl,sorted,512,4000000,500000,uniform,50,42,2,28.272,0.487,274.79,0.00,250362,250362,32304584,8.08
csl-eyt,eyt,512,4000000,500000,uniform,50,42,2,30.278,10.448,270.23,0.00,250362,250362,32304584,8.08
csl,sorted,1024,4000000,500000,uniform,50,42,2,29.993,0.267,271.82,0.00,250362,250362,32157416,8.04
csl-eyt,eyt,1024,4000000,500000,uniform,50,42,2,18.682,12.947,236.65,0.00,250362,250362,32157416,8.04
csl,sorted,2048,4000000,500000,uniform,50,42,2,16.788,0.133,253.73,0.00,250362,250362,32090112,8.02
csl-eyt,eyt,2048,4000000,500000,uniform,50,42,2,31.499,14.347,241.51,0.00,250362,250362,32090112,8.02
csl,sorted,4096,4000000,500000,uniform,50,42,2,21.005,0.106,331.48,0.00,250362,250362,32052252,8.01
csl-eyt,eyt,4096,4000000,500000,uniform,50,42,2,43.251,21.400,281.96,0.00,250362,250362,32052252,8.01
