structure,layout,block_cap,n,q,dist,hit_pct,seed,rep,build_ms,prep_ms,search_ns,insert_ns,hits,expected_hits,mem_bytes,bytes_per_key
array,sorted,0,4000000,500000,uniform,50,42,0,0.000,0.000,263.14,0.00,250362,250362,32000000,8.00
array-bl,sorted,0,4000000,500000,uniform,50,42,0,0.000,0.000,136.33,0.00,250362,250362,32000000,8.00
array-eyt,eyt,0,4000000,500000,uniform,50,42,0,0.000,0.000,96.23,0.00,250362,250362,32000000,8.00
skiplist,nodes,0,4000000,500000,uniform,50,42,0,632.668,0.000,900.16,0.00,250362,250362,69339080,17.33
csl,sorted,8,4000000,500000,uniform,50,42,0,173.724,44.756,598.15,0.00,250362,250362,51334752,12.83
csl-eyt,eyt,8,4000000,500000,uniform,50,42,0,458.350,201.300,1490.98,0.00,250362,250362,51334752,12.83
csl,sorted,16,4000000,500000,uniform,50,42,0,246.371,47.860,1060.92,0.00,250362,250362,41667668,10.42
csl-eyt,eyt,16,4000000,500000,uniform,50,42,0,252.672,111.065,1065.45,0.00,250362,250362,41667668,10.42
csl,sorted,32,4000000,500000,uniform,50,42,0,153.021,22.327,905.24,0.00,250362,250362,36834260,9.21
csl-eyt,eyt,32,4000000,500000,uniform,50,42,0,153.287,73.325,839.62,0.00,250362,250362,36834260,9.21
csl,sorted,64,4000000,500000,uniform,50,42,0,110.157,11.994,855.57,0.00,250362,250362,34417072,8.60
csl-eyt,eyt,64,4000000,500000,uniform,50,42,0,107.035,47.924,783.11,0.00,250362,250362,34417072,8.60
csl,sorted,128,4000000,500000,uniform,50,42,0,86.765,7.011,827.73,0.00,250362,250362,33209488,8.30
csl-eyt,eyt,128,4000000,500000,uniform,50,42,0,84.938,34.875,745.66,0.00,250362,250362,33209488,8.30
csl,sorted,256,4000000,500000,uniform,50,42,0,74.393,2.548,880.23,0.00,250362,250362,32604776,8.15
csl-eyt,eyt,256,4000000,500000,uniform,50,42,0,78.635,29.952,742.69,0.00,250362,250362,32604776,8.15
csl,sorted,512,4000000,500000,uniform,50,42,0,69.532,1.339,937.68,0.00,250362,250362,32304584,8.08
csl-eyt,eyt,512,4000000,500000,uniform,50,42,0,68.505,26.200,661.29,0.00,250362,250362,32304584,8.08
csl,sorted,1024,4000000,500000,uniform,50,42,0,74.393,0.635,1000.26,0.00,250362,250362,32157416,8.04
csl-eyt,eyt,1024,4000000,500000,uniform,50,42,0,80.843,24.579,604.94,0.00,250362,250362,32157416,8.04
csl,sorted,2048,4000000,500000,uniform,50,42,0,75.726,0.357,933.11,0.00,250362,250362,32090112,8.02
csl-eyt,eyt,2048,4000000,500000,uniform,50,42,0,80.619,25.394,588.96,0.00,250362,250362,32090112,8.02
csl,sorted,4096,4000000,500000,uniform,50,42,0,73.349,0.177,882.04,0.00,250362,250362,32052252,8.01
csl-eyt,eyt,4096,4000000,500000,uniform,50,42,0,73.958,29.248,563.78,0.00,250362,250362,32052252,8.01
array,sorted,0,4000000,500000,uniform,50,42,1,0.000,0.000,635.73,0.00,250362,250362,32000000,8.00
array-bl,sorted,0,4000000,500000,uniform,50,42,1,0.000,0.000,471.15,0.00,250362,250362,32000000,8.00
array-eyt,eyt,0,4000000,500000,uniform,50,42,1,0.000,0.000,304.47,0.00,250362,250362,32000000,8.00
skiplist,nodes,0,4000000,500000,uniform,50,42,1,1302.994,0.000,1712.24,0.00,250362,250362,69339080,17.33
csl,sorted,8,4000000,500000,uniform,50,42,1,184.394,50.437,854.49,0.00,250362,250362,51334752,12.83
csl-eyt,eyt,8,4000000,500000,uniform,50,42,1,247.693,118.796,916.51,0.00,250362,250362,51334752,12.83
csl,sorted,16,4000000,500000,uniform,50,42,1,132.885,24.062,675.95,0.00,250362,250362,41667668,10.42
csl-eyt,eyt,16,4000000,500000,uniform,50,42,1,132.360,54.593,661.98,0.00,250362,250362,41667668,10.42
csl,sorted,32,4000000,500000,uniform,50,42,1,72.038,8.540,583.56,0.00,250362,250362,36834260,9.21
csl-eyt,eyt,32,4000000,500000,uniform,50,42,1,79.837,35.989,385.87,0.00,250362,250362,36834260,9.21
csl,sorted,64,4000000,500000,uniform,50,42,1,44.665,4.234,405.65,0.00,250362,250362,34417072,8.60
csl-eyt,eyt,64,4000000,500000,uniform,50,42,1,64.871,30.424,424.20,0.00,250362,250362,34417072,8.60
csl,sorted,128,4000000,500000,uniform,50,42,1,36.717,1.872,325.19,0.00,250362,250362,33209488,8.30
