structure,layout,block_cap,n,q,dist,hit_pct,seed,rep,build_ms,prep_ms,search_ns,insert_ns,hits,expected_hits,mem_bytes,bytes_per_key
array,sorted,0,32,500000,uniform,50,42,0,0.000,0.000,31.44,0.00,250198,250198,256,8.00
array-bl,sorted,0,32,500000,uniform,50,42,0,0.000,0.000,4.36,0.00,250198,250198,256,8.00
array-eyt,eyt,0,32,500000,uniform,50,42,0,0.000,0.000,8.70,0.00,250198,250198,256,8.00
skiplist,nodes,0,32,500000,uniform,50,42,0,0.033,0.000,46.69,0.00,250198,250198,716,22.38
csl,sorted,4,32,500000,uniform,50,42,0,0.017,0.006,42.92,0.00,250198,250198,708,22.13
csl-eyt,eyt,4,32,500000,uniform,50,42,0,0.011,0.011,50.65,0.00,250198,250198,708,22.13
csl,sorted,8,32,500000,uniform,50,42,0,0.009,0.004,29.86,0.00,250198,250198,560,17.50
csl-eyt,eyt,8,32,500000,uniform,50,42,0,0.008,0.004,30.16,0.00,250198,250198,560,17.50
csl,sorted,16,32,500000,uniform,50,42,0,0.008,0.001,25.59,0.00,250198,250198,488,15.25
csl-eyt,eyt,16,32,500000,uniform,50,42,0,0.006,0.002,25.48,0.00,250198,250198,488,15.25
csl,sorted,32,32,500000,uniform,50,42,0,0.005,0.001,23.74,0.00,250198,250198,448,14.00
csl-eyt,eyt,32,32,500000,uniform,50,42,0,0.009,0.003,22.17,0.00,250198,250198,448,14.00
csl,sorted,64,32,500000,uniform,50,42,0,0.005,0.000,21.65,0.00,250198,250198,704,22.00
csl-eyt,eyt,64,32,500000,uniform,50,42,0,0.003,0.002,22.44,0.00,250198,250198,704,22.00
array,sorted,0,32,500000,uniform,50,42,1,0.000,0.000,26.55,0.00,250198,250198,256,8.00
array-bl,sorted,0,32,500000,uniform,50,42,1,0.000,0.000,4.44,0.00,250198,250198,256,8.00
array-eyt,eyt,0,32,500000,uniform,50,42,1,0.000,0.000,7.68,0.00,250198,250198,256,8.00
skiplist,nodes,0,32,500000,uniform,50,42,1,0.014,0.000,42.67,0.00,250198,250198,716,22.38
csl,sorted,4,32,500000,uniform,50,42,1,0.008,0.005,30.17,0.00,250198,250198,708,22.13
csl-eyt,eyt,4,32,500000,uniform,50,42,1,0.006,0.003,50.18,0.00,250198,250198,708,22.13
csl,sorted,8,32,500000,uniform,50,42,1,0.007,0.003,26.39,0.00,250198,250198,560,17.50
csl-eyt,eyt,8,32,500000,uniform,50,42,1,0.005,0.004,32.73,0.00,250198,250198,560,17.50
csl,sorted,16,32,500000,uniform,50,42,1,0.006,0.001,32.12,0.00,250198,250198,488,15.25
csl-eyt,eyt,16,32,500000,uniform,50,42,1,0.005,0.002,27.40,0.00,250198,250198,488,15.25
csl,sorted,32,32,500000,uniform,50,42,1,0.006,0.001,22.48,0.00,250198,250198,448,14.00
csl-eyt,eyt,32,32,500000,uniform,50,42,1,0.005,0.002,21.74,0.00,250198,250198,448,14.00
csl,sorted,64,32,500000,uniform,50,42,1,0.003,0.001,24.84,0.00,250198,250198,704,22.00
csl-eyt,eyt,64,32,500000,uniform,50,42,1,0.004,0.001,21.75,0.00,250198,250198,704,22.00
array,sorted,0,32,500000,uniform,50,42,2,0.000,0.000,23.94,0.00,250198,250198,256,8.00
array-bl,sorted,0,32,500000,uniform,50,42,2,0.000,0.000,4.25,0.00,250198,250198,256,8.00
array-eyt,eyt,0,32,500000,uniform,50,42,2,0.000,0.000,7.44,0.00,250198,250198,256,8.00
skiplist,nodes,0,32,500000,uniform,50,42,2,0.011,0.000,27.83,0.00,250198,250198,716,22.38
csl,sorted,4,32,500000,uniform,50,42,2,0.006,0.006,29.62,0.00,250198,250198,708,22.13
csl-eyt,eyt,4,32,500000,uniform,50,42,2,0.007,0.005,48.55,0.00,250198,250198,708,22.13
csl,sorted,8,32,500000,uniform,50,42,2,0.008,0.002,26.35,0.00,250198,250198,560,17.50
csl-eyt,eyt,8,32,500000,uniform,50,42,2,0.007,0.004,37.22,0.00,250198,250198,560,17.50
csl,sorted,16,32,500000,uniform,50,42,2,0.004,0.000,30.35,0.00,250198,250198,488,15.25
csl-eyt,eyt,16,32,500000,uniform,50,42,2,0.006,0.003,26.95,0.00,250198,250198,488,15.25
csl,sorted,32,32,500000,uniform,50,42,2,0.005,0.001,25.89,0.00,250198,250198,448,14.00
csl-eyt,eyt,32,32,500000,uniform,50,42,2,0.004,0.002,21.86,0.00,250198,250198,448,14.00
csl,sorted,64,32,500000,uniform,50,42,2,0.003,0.000,22.65,0.00,250198,250198,704,22.00
csl-eyt,eyt,64,32,500000,uniform,50,42,2,0.006,0.003,24.29,0.00,250198,250198,704,22.00
